ID,Title,Severity,CWE,CVE(s),Bounty,Status,Disclosed,Submitted,Program,Reporter,Votes,URL
3560256,Cross-repository IDOR in `/settings/security_analysis/bypass_reviewers` allows unauthorized delegated bypass reviewer modification,Medium,Insecure Direct Object Reference (IDOR),CVE-2026-3307,,resolved,2026-05-19,2026-02-18,GitHub,ahacker1,2,https://hackerone.com/reports/3560256
3733934,CURLOPT_HSTS_CTRL disables shared HSTS without share guard — use-after-free and double-free,None,Use After Free,"CVE-2018-16840, CVE-2023-27537",,informative,2026-05-18,2026-05-13,curl,giant_anteater,5,https://hackerone.com/reports/3733934
3735238,cookie: case-insensitive path comparison in replace_existing() allows cookie eviction across distinct paths,None,Business Logic Errors,,,informative,2026-05-18,2026-05-14,curl,giant_anteater,4,https://hackerone.com/reports/3735238
3735080,"libssh SFTP initialization ignores CURLOPT_TIMEOUT, hangs indefinitely",None,Allocation of Resources Without Limits or Throttling,,,not-applicable,2026-05-18,2026-05-14,curl,giant_anteater,5,https://hackerone.com/reports/3735080
3734935,rustls backend silently ignores CURLOPT_CRLFILE when native CA store is active,None,Business Logic Errors,,,informative,2026-05-18,2026-05-14,curl,giant_anteater,4,https://hackerone.com/reports/3734935
3733984,HSTS multi-trailing-dot bypass-ish: possible incomplete fix for CVE-2022-30115,Medium,Cleartext Transmission of Sensitive Information,CVE-2022-30115,,informative,2026-05-18,2026-05-13,curl,giant_anteater,3,https://hackerone.com/reports/3733984
3589247,Unauthenticated File Upload to CDN,Medium,Improper Access Control - Generic,,,resolved,2026-05-18,2026-03-06,Enjin,ph0r3nsic,16,https://hackerone.com/reports/3589247
3713682,IDOR: autotranslate.translateMessage Full Message Content Leak,Medium,Insecure Direct Object Reference (IDOR),,,resolved,2026-05-18,2026-05-05,Rocket.Chat,josan_george,12,https://hackerone.com/reports/3713682
3734921,"Trailing-dot IPv4 URL bypasses IP-address guard, allows wildcard DNS SAN match",None,Business Logic Errors,CVE-2022-30115,,informative,2026-05-17,2026-05-14,curl,giant_anteater,7,https://hackerone.com/reports/3734921
3736234,NULL pointer dereference in libcurl URL API redirect_url() with CURLU_DEFAULT_SCHEME,None,NULL Pointer Dereference,,,informative,2026-05-17,2026-05-14,curl,mulan_dh,4,https://hackerone.com/reports/3736234
3462991,SQL Injection in Column Type Parameter Allows Arbitrary SQL Execution,High,SQL Injection,CVE-2026-45545,,resolved,2026-05-15,2025-12-12,Nextcloud,suul,52,https://hackerone.com/reports/3462991
